PaymentReceiptNo,PaymentDate,PaymentTime,PaymentMethod,PaymentReferenceNumber,InvoiceNumber
TBJ04NXYVNUW,2/16/2024,12:59:19 PM,UPI,2024011611084000063179574608707656656841022587,19R4564I2764711717
TBJJJ7KEXWGD,1/16/2024,2:59:19 PM,UPI,2024011611084000017419370019174756861794737422,19R4564I4141736298
TBJDW1VF09I3,1/15/2024,2:59:19 PM,UPI,2024011611084000011214670084452735485062785450,19R4564I9227601579
TBJS92R0R77J,2/15/2024,2:52:19 PM,UPI,2024011611084000059239453788671972103186510629,19R4564I5077967981
TBJH8IYT7GI9,1/26/2024,12:59:19 PM,UPI,2024011611084000095335345505244979994844047719,19R4564I2592365523
TBJ7JIC526UF,2/26/2024,12:59:19 PM,UPI,2024011611084000005981809799853935351341620951,19R4564I4697453074
TBJDMYV68SOK,2/19/2024,12:15:19 PM,UPI,2024011611084000049997589297718217350908803163,19R4564I9287075902
TBJXKLERF1IP,1/19/2024,12:59:19 PM,UPI,2024011611084000035426730652508809461219814758,19R4564I2476707751
TBJW6YYQT44L,1/6/2024,12:29:19 PM,UPI,2024011611084000089829869225814738924461295663,19R4564I2544387929
TBJUZJUYR2LA,6/2/2024,12:50:14 PM,UPI,2024011611084000055678611152865950736018999028,19R4564I6312636631
TBJEHIX5KU4W,1/13/2024,12:59:19 PM,Credit card,2024011611084000029534265078826535823420903167,19R4564I9026789267
TBJANNXYJ1EH,2/13/2024,12:59:19 PM,UPI,2024011611084000000605628470717086117582554886,19R4564I1791294654
TBJ2Q7QXV0GW,2/11/2024,2:59:19 PM,Credit Card,2024011611084000065053829998646195144384375894,19R4564I5521791339
TBJ1DXSSEHFC,1/11/2024,1:59:19 PM,Credit Card,2024011611084000045349549028658600082797284214,19R4564I1076161572
TBJ6HQDMT9B1,1/16/2024,12:19:19 PM,UPI,2024011611084000084113004244807181421936950161,19R4564I6464760383
TBJURB6S0B9L,2/16/2024,12:52:19 PM,UPI,2024011611084000088652505679652653131549282066,19R4564I8931691076
TBJANQIVI7M8,2/16/2024,12:19:19 PM,UPI,2024011611084000015492651486079364776301754146,19R4564I1448604723
TBJE1G9II7CU,1/16/2024,11:59:10 AM,UPI,2024011611084000069542115948088252582350777911,19R4564I4461657282
TBJNBL5GTMF7,1/16/2024,12:59:12 PM,UPI,2024011611084000073435626266861096182184871003,19R4564I7755107585
TBJ3VJB62XC4,2/16/2024,12:00:19 PM,UPI,2024011611084000097703561868423639532552884467,19R4564I3119633878
